i,X,Y,Z
212,65326 , 65363 , 65468
213,65327 , 65351 , 65462
214,65327 , 65351 , 65462
215,65314 , 65346 , 65466
216,65314 , 65346 , 65466
217,65314 , 65345 , 65465
218,65314 , 65345 , 65466
219,65314 , 65345 , 65466
220,65305 , 65341 , 65467
221,65304 , 65340 , 65467
222,65304 , 65340 , 65467
223,65304 , 65341 , 65468
224,65304 , 65341 , 65468
225,65299 , 65341 , 65470
226,65298 , 65339 , 65470
227,65298 , 65339 , 65470
228,65298 , 65349 , 65475
229,65298 , 65349 , 65475
230,65296 , 65350 , 65476
231,65296 , 65350 , 65476
232,65296 , 65350 , 65476
233,65296 , 65351 , 65476
234,65296 , 65350 , 65476
235,65294 , 65340 , 65471
236,65294 , 65339 , 65471
237,65294 , 65339 , 65471
238,65294 , 65340 , 65472
239,65294 , 65340 , 65471
240,65294 , 65340 , 65472
241,65294 , 65340 , 65472
242,65294 , 65340 , 65472
243,65294 , 65340 , 65472
244,65294 , 65340 , 65472
245,65294 , 65343 , 65473
246,65294 , 65343 , 65475
247,65294 , 65343 , 65475
248,65293 , 65344 , 65473
249,65294 , 65344 , 65474
250,65294 , 65343 , 65473
251,65294 , 65344 , 65474
252,65294 , 65344 , 65474
253,65293 , 65344 , 65474
254,65293 , 65344 , 65474
255,65293 , 65345 , 65475
256,65292 , 65345 , 65474
257,65293 , 65344 , 65473
258,65293 , 65344 , 65473
259,65292 , 65345 , 65473
260,65289 , 65347 , 65472
261,65291 , 65346 , 65473
262,65292 , 65346 , 65472
263,65292 , 65346 , 65472
264,65291 , 65345 , 65473
265,65291 , 65366 , 65484
266,65292 , 65366 , 65483
267,65292 , 65365 , 65482
268,65292 , 65365 , 65482
269,65294 , 65365 , 65483
270,65296 , 65365 , 65480
271,65297 , 65365 , 65481
272,65296 , 65366 , 65480
273,65296 , 65366 , 65480
274,65296 , 65365 , 65480
275,65296 , 65376 , 65486
276,65296 , 65376 , 65486
277,65295 , 65377 , 65485
278,65295 , 65377 , 65485
279,65295 , 65376 , 65486
280,65295 , 65376 , 65486
281,65295 , 65376 , 65486
282,65294 , 65377 , 65486
283,65294 , 65377 , 65486
284,65292 , 65375 , 65490
285,65289 , 65374 , 65494
286,65289 , 65374 , 65494
287,65289 , 65376 , 65494
288,65289 , 65376 , 65494
289,65287 , 65375 , 65495
290,65289 , 65375 , 65495
291,65289 , 65375 , 65495
292,65288 , 65375 , 65495
293,65287 , 65376 , 65494
294,65287 , 65376 , 65494
295,65287 , 65375 , 65495
296,65287 , 65375 , 65495
297,65288 , 65376 , 65495
298,65289 , 65376 , 65495
299,65289 , 65376 , 65495
300,65288 , 65375 , 65496
301,65288 , 65375 , 65496
302,65287 , 65376 , 65494
303,65288 , 65375 , 65494
304,65288 , 65375 , 65494
305,65288 , 65375 , 65494
306,65288 , 65375 , 65494
307,65288 , 65375 , 65494
308,65288 , 65375 , 65495
309,65288 , 65375 , 65495
310,65289 , 65376 , 65493
311,65288 , 65375 , 65496
312,65288 , 65375 , 65496
313,65288 , 65375 , 65494
314,65288 , 65375 , 65494
315,65288 , 65374 , 65495
316,65288 , 65375 , 65494
317,65288 , 65375 , 65494
318,65287 , 65375 , 65495
319,65287 , 65375 , 65495
320,65288 , 65375 , 65495
321,65287 , 65375 , 65495
322,65287 , 65375 , 65495
323,65288 , 65374 , 65495
324,65288 , 65374 , 65495
325,65287 , 65374 , 65495
326,65288 , 65376 , 65494
327,65288 , 65376 , 65494
328,65288 , 65375 , 65495
329,65289 , 65377 , 65494
330,65288 , 65375 , 65495
331,65288 , 65376 , 65495
332,65288 , 65376 , 65495
333,65288 , 65374 , 65494
334,65288 , 65375 , 65494
335,65288 , 65375 , 65495
336,65288 , 65375 , 65495
337,65288 , 65375 , 65495
338,65287 , 65375 , 65494
339,65287 , 65375 , 65494
340,65288 , 65375 , 65494
341,65288 , 65375 , 65494
342,65288 , 65375 , 65494
343,65288 , 65375 , 65493
344,65287 , 65375 , 65494
345,65288 , 65375 , 65495
346,65288 , 65374 , 65494
347,65287 , 65375 , 65494
348,65287 , 65375 , 65494
349,65288 , 65375 , 65494
350,65287 , 65375 , 65495
351,65289 , 65375 , 65494
352,65289 , 65374 , 65494
353,65289 , 65374 , 65494
354,65287 , 65376 , 65495
355,65287 , 65375 , 65494
356,65287 , 65375 , 65495
357,65288 , 65374 , 65496
358,65288 , 65374 , 65496
359,65290 , 65375 , 65494
360,65289 , 65375 , 65495
361,65287 , 65375 , 65494
362,65288 , 65375 , 65495
363,65288 , 65375 , 65495
364,65288 , 65375 , 65494
365,65288 , 65375 , 65496
366,65288 , 65376 , 65496
367,65288 , 65376 , 65495
368,65288 , 65376 , 65495
369,65288 , 65375 , 65494
370,65287 , 65375 , 65494
371,65287 , 65375 , 65494
372,65288 , 65376 , 65496
373,65288 , 65376 , 65496
374,65287 , 65375 , 65495
375,65288 , 65375 , 65495
376,65288 , 65375 , 65495
377,65287 , 65375 , 65494
378,65287 , 65375 , 65494
379,65287 , 65376 , 65494
380,65288 , 65375 , 65494
381,65288 , 65375 , 65494
382,65288 , 65376 , 65494
383,65289 , 65374 , 65495
384,65289 , 65374 , 65495
385,65289 , 65375 , 65495
386,65289 , 65375 , 65495
387,65287 , 65376 , 65494
388,65288 , 65376 , 65494
389,65288 , 65376 , 65494
390,65289 , 65375 , 65495
391,65289 , 65375 , 65495
392,65288 , 65375 , 65495
393,65288 , 65375 , 65495
394,65288 , 65375 , 65495
395,65288 , 65371 , 65492
396,65288 , 65371 , 65492
397,65290 , 65357 , 65486
398,65290 , 65362 , 65488
399,65290 , 65362 , 65488
400,65291 , 65362 , 65489
401,65291 , 65363 , 65489
402,65291 , 65363 , 65489
403,65290 , 65364 , 65488
404,65290 , 65364 , 65488
405,65315 , 65333 , 65480
406,65317 , 65334 , 65480
407,65317 , 65334 , 65480
408,65310 , 65337 , 65480
409,65310 , 65337 , 65480
410,65295 , 65343 , 65480
411,65295 , 65343 , 65481
412,65295 , 65343 , 65481
413,65295 , 65343 , 65479
414,65295 , 65343 , 65479
415,65295 , 65344 , 65478
416,65295 , 65345 , 65479
417,65295 , 65345 , 65479
418,65295 , 65343 , 65480
419,65296 , 65344 , 65479
420,65294 , 65343 , 65479
421,65294 , 65344 , 65479
422,65294 , 65344 , 65479
423,65295 , 65344 , 65479
424,65294 , 65344 , 65480
425,65294 , 65345 , 65477
426,65294 , 65346 , 65476
427,65294 , 65346 , 65476
428,65294 , 65345 , 65476
429,65293 , 65346 , 65477
430,65291 , 65356 , 65477
431,65291 , 65357 , 65477
432,65291 , 65357 , 65477
433,65292 , 65357 , 65475
434,65292 , 65357 , 65475
435,65301 , 65356 , 65472
436,65302 , 65358 , 65472
437,65302 , 65357 , 65471
438,65302 , 65357 , 65471
439,65305 , 65357 , 65472
440,65328 , 65370 , 65467
441,65334 , 65375 , 65465
442,65341 , 65384 , 65462
443,65341 , 65384 , 65462
444,65348 , 65398 , 65459
445,65269 , 65403 , 65463
446,65273 , 65395 , 65468
447,65280 , 65390 , 65473
448,65280 , 65390 , 65473
449,65286 , 65387 , 65481
450,65264 , 65430 , 65520
451,65253 , 65426 , 65516
452,65247 , 65424 , 65515
453,65247 , 65424 , 65515
454,65244 , 65419 , 65513
455,65242 , 65403 , 65513
456,65242 , 65403 , 65513
457,65243 , 65402 , 65512
458,65243 , 65402 , 65512
459,65242 , 65400 , 65512
460,65245 , 65398 , 65512
461,65245 , 65398 , 65512
462,65246 , 65396 , 65511
463,65246 , 65396 , 65511
464,65245 , 65397 , 65512
465,65248 , 65395 , 65511
466,65248 , 65395 , 65511
467,65246 , 65396 , 65511
468,65247 , 65396 , 65511
469,65247 , 65396 , 65511
470,65247 , 65395 , 65511
471,65247 , 65395 , 65511
472,65247 , 65396 , 65511
473,65247 , 65396 , 65511
474,65247 , 65396 , 65511
475,65246 , 65394 , 65510
476,65246 , 65394 , 65510
477,65247 , 65395 , 65511
478,65248 , 65396 , 65512
479,65248 , 65396 , 65512
480,65247 , 65397 , 65512
481,65247 , 65397 , 65512
482,65246 , 65395 , 65511
483,65247 , 65395 , 65510
484,65247 , 65395 , 65510
485,65246 , 65396 , 65510
486,65248 , 65396 , 65511
487,65248 , 65396 , 65511
488,65246 , 65396 , 65511
489,65246 , 65396 , 65511
490,65247 , 65395 , 65511
491,65246 , 65396 , 65512
492,65246 , 65396 , 65512
493,65248 , 65397 , 65511
494,65248 , 65397 , 65511
495,65249 , 65396 , 65511
496,65247 , 65395 , 65511
497,65247 , 65395 , 65511
498,65248 , 65395 , 65511
499,65247 , 65394 , 65511
500,65248 , 65395 , 65511
501,65247 , 65396 , 65511
502,65247 , 65396 , 65511
503,65247 , 65395 , 65510
504,65246 , 65395 , 65512
505,65247 , 65395 , 65511
506,65247 , 65396 , 65511
507,65247 , 65396 , 65511
508,65248 , 65396 , 65512
509,65248 , 65396 , 65511
510,65248 , 65395 , 65511
511,65247 , 65396 , 65512
512,65247 , 65396 , 65512
513,65247 , 65395 , 65511
514,65247 , 65395 , 65511
515,65249 , 65395 , 65512
516,65247 , 65395 , 65511
517,65247 , 65396 , 65511
518,65247 , 65396 , 65511
519,65247 , 65395 , 65512
520,65247 , 65395 , 65511
521,65247 , 65395 , 65510
522,65247 , 65395 , 65512
523,65247 , 65395 , 65512
524,65246 , 65394 , 65511
525,65248 , 65395 , 65511
526,65247 , 65395 , 65511
527,65248 , 65396 , 65512
528,65248 , 65396 , 65512
529,65248 , 65396 , 65511
530,65247 , 65395 , 65511
531,65248 , 65395 , 65510
532,65247 , 65395 , 65512
533,65247 , 65395 , 65512
534,65247 , 65395 , 65511
535,65247 , 65395 , 65510
536,65247 , 65395 , 65510
537,65247 , 65395 , 65512
538,65247 , 65395 , 65512
539,65247 , 65395 , 65512
540,65247 , 65395 , 65512
541,65247 , 65395 , 65512
542,65248 , 65395 , 65511
543,65248 , 65395 , 65511
544,65247 , 65395 , 65512
