i,X,Y,Z
0,65248 , 65395 , 65510
1,65248 , 65395 , 65510
2,65246 , 65396 , 65511
3,65247 , 65395 , 65511
4,65247 , 65395 , 65511
5,65247 , 65395 , 65512
6,65247 , 65395 , 65511
7,65247 , 65395 , 65511
8,65247 , 65396 , 65511
9,65247 , 65396 , 65511
10,65246 , 65396 , 65511
11,65247 , 65396 , 65511
12,65247 , 65396 , 65511
13,65247 , 65395 , 65511
14,65247 , 65395 , 65511
15,65247 , 65396 , 65512
16,65247 , 65395 , 65511
17,65247 , 65395 , 65511
18,65247 , 65395 , 65512
19,65247 , 65395 , 65512
20,65247 , 65395 , 65512
21,65247 , 65395 , 65510
22,65247 , 65395 , 65510
23,65247 , 65396 , 65513
24,65248 , 65396 , 65512
25,65248 , 65396 , 65511
26,65247 , 65396 , 65510
27,65247 , 65396 , 65510
28,65248 , 65396 , 65512
29,65248 , 65395 , 65511
30,65246 , 65395 , 65511
31,65247 , 65396 , 65512
32,65247 , 65396 , 65512
33,65247 , 65395 , 65512
34,65247 , 65395 , 65511
35,65248 , 65394 , 65511
36,65248 , 65396 , 65511
37,65248 , 65396 , 65511
38,65247 , 65396 , 65512
39,65247 , 65395 , 65512
40,65247 , 65395 , 65511
41,65247 , 65396 , 65512
42,65246 , 65395 , 65511
43,65246 , 65395 , 65511
44,65246 , 65396 , 65512
45,65248 , 65396 , 65512
46,65246 , 65396 , 65511
47,65247 , 65395 , 65512
48,65247 , 65395 , 65512
49,65247 , 65397 , 65511
50,65247 , 65395 , 65512
51,65247 , 65395 , 65511
52,65247 , 65395 , 65512
53,65247 , 65395 , 65512
54,65247 , 65396 , 65511
55,65247 , 65395 , 65511
56,65246 , 65395 , 65511
57,65247 , 65396 , 65512
58,65247 , 65396 , 65512
59,65247 , 65396 , 65511
60,65247 , 65395 , 65510
61,65247 , 65395 , 65510
62,65248 , 65395 , 65511
63,65248 , 65395 , 65511
64,65248 , 65395 , 65512
65,65247 , 65396 , 65512
66,65247 , 65396 , 65512
67,65247 , 65395 , 65512
68,65247 , 65395 , 65512
69,65247 , 65395 , 65511
70,65247 , 65396 , 65510
71,65247 , 65396 , 65510
72,65247 , 65396 , 65511
73,65247 , 65396 , 65511
74,65247 , 65395 , 65511
75,65247 , 65395 , 65510
76,65247 , 65395 , 65510
77,65247 , 65396 , 65511
78,65247 , 65395 , 65511
79,65249 , 65395 , 65511
80,65248 , 65395 , 65511
81,65248 , 65395 , 65511
82,65247 , 65396 , 65510
83,65247 , 65395 , 65511
84,65247 , 65395 , 65511
85,65246 , 65395 , 65511
86,65246 , 65395 , 65511
87,65247 , 65395 , 65511
88,65247 , 65396 , 65512
89,65247 , 65396 , 65512
90,65247 , 65395 , 65511
91,65247 , 65395 , 65511
92,65248 , 65395 , 65513
93,65245 , 65396 , 65511
94,65245 , 65396 , 65511
95,65246 , 65396 , 65511
96,65246 , 65396 , 65511
97,65247 , 65395 , 65512
98,65247 , 65396 , 65512
99,65247 , 65396 , 65512
100,65248 , 65397 , 65511
101,65247 , 65397 , 65511
102,65247 , 65397 , 65511
103,65247 , 65395 , 65510
104,65247 , 65395 , 65510
105,65247 , 65395 , 65512
106,65247 , 65396 , 65511
107,65247 , 65396 , 65511
108,65247 , 65395 , 65512
109,65247 , 65395 , 65512
110,65247 , 65396 , 65512
111,65247 , 65396 , 65512
112,65247 , 65396 , 65512
113,65247 , 65396 , 65511
114,65246 , 65396 , 65511
115,65247 , 65395 , 65511
116,65247 , 65395 , 65511
117,65247 , 65395 , 65511
118,65247 , 65395 , 65512
119,65248 , 65396 , 65511
120,65248 , 65396 , 65511
121,65247 , 65395 , 65511
122,65247 , 65395 , 65511
123,65247 , 65396 , 65511
124,65247 , 65395 , 65511
125,65247 , 65397 , 65512
126,65246 , 65395 , 65511
127,65246 , 65395 , 65511
128,65247 , 65395 , 65511
129,65247 , 65396 , 65511
130,65248 , 65396 , 65511
131,65247 , 65396 , 65512
