i,X,Y,Z
0,65272 , 65393 , 65492
1,65271 , 65392 , 65492
2,65271 , 65392 , 65491
3,65272 , 65392 , 65492
4,65272 , 65392 , 65492
5,65271 , 65392 , 65492
6,65273 , 65391 , 65492
7,65273 , 65391 , 65492
8,65272 , 65392 , 65492
9,65272 , 65392 , 65492
10,65272 , 65392 , 65493
11,65273 , 65392 , 65493
12,65273 , 65392 , 65493
13,65273 , 65392 , 65493
14,65273 , 65392 , 65493
15,65272 , 65392 , 65492
16,65272 , 65392 , 65492
17,65272 , 65392 , 65492
18,65272 , 65391 , 65492
19,65272 , 65391 , 65492
20,65273 , 65392 , 65492
21,65272 , 65392 , 65492
22,65272 , 65392 , 65492
23,65271 , 65391 , 65492
24,65271 , 65392 , 65493
25,65271 , 65392 , 65493
26,65273 , 65391 , 65492
27,65273 , 65391 , 65492
28,65272 , 65391 , 65492
29,65271 , 65392 , 65492
30,65271 , 65392 , 65492
31,65272 , 65392 , 65491
32,65272 , 65392 , 65491
33,65272 , 65392 , 65492
34,65272 , 65392 , 65493
35,65272 , 65392 , 65493
36,65272 , 65392 , 65492
37,65272 , 65392 , 65492
38,65271 , 65392 , 65492
39,65271 , 65392 , 65492
40,65271 , 65392 , 65492
41,65272 , 65392 , 65492
42,65272 , 65391 , 65492
43,65272 , 65391 , 65492
44,65271 , 65391 , 65493
45,65271 , 65391 , 65493
46,65271 , 65392 , 65492
47,65273 , 65392 , 65494
48,65273 , 65392 , 65494
49,65272 , 65393 , 65492
50,65272 , 65393 , 65492
51,65271 , 65393 , 65493
52,65272 , 65392 , 65493
53,65272 , 65392 , 65493
54,65272 , 65393 , 65492
55,65272 , 65392 , 65493
56,65271 , 65392 , 65492
57,65271 , 65392 , 65493
58,65271 , 65392 , 65493
59,65272 , 65391 , 65492
60,65272 , 65391 , 65492
61,65272 , 65391 , 65493
62,65272 , 65393 , 65492
63,65272 , 65393 , 65492
64,65272 , 65392 , 65493
65,65272 , 65391 , 65493
66,65272 , 65392 , 65491
67,65271 , 65392 , 65492
68,65271 , 65392 , 65492
69,65271 , 65392 , 65492
70,65272 , 65392 , 65492
71,65272 , 65394 , 65492
72,65272 , 65392 , 65492
73,65272 , 65392 , 65491
74,65272 , 65392 , 65491
75,65273 , 65392 , 65492
76,65271 , 65392 , 65492
77,65272 , 65392 , 65491
78,65272 , 65392 , 65492
79,65272 , 65392 , 65492
80,65272 , 65392 , 65492
81,65272 , 65392 , 65492
82,65271 , 65392 , 65492
83,65271 , 65392 , 65492
84,65271 , 65392 , 65492
85,65272 , 65393 , 65493
86,65272 , 65392 , 65492
87,65271 , 65391 , 65492
88,65271 , 65392 , 65493
89,65271 , 65392 , 65493
90,65271 , 65392 , 65492
91,65272 , 65392 , 65493
92,65272 , 65392 , 65493
93,65271 , 65392 , 65491
94,65271 , 65392 , 65491
95,65271 , 65392 , 65493
96,65271 , 65392 , 65493
97,65271 , 65392 , 65493
98,65271 , 65392 , 65492
99,65271 , 65392 , 65492
100,65272 , 65392 , 65492
101,65271 , 65393 , 65492
102,65271 , 65393 , 65492
103,65272 , 65393 , 65493
104,65272 , 65393 , 65493
105,65271 , 65392 , 65491
106,65271 , 65391 , 65493
107,65271 , 65391 , 65493
108,65271 , 65391 , 65492
109,65272 , 65391 , 65492
110,65272 , 65391 , 65492
111,65271 , 65391 , 65491
112,65271 , 65391 , 65491
113,65272 , 65392 , 65492
114,65271 , 65392 , 65492
115,65271 , 65392 , 65492
116,65271 , 65391 , 65492
117,65271 , 65391 , 65492
118,65272 , 65392 , 65492
119,65272 , 65392 , 65493
120,65272 , 65392 , 65493
121,65271 , 65393 , 65492
122,65272 , 65393 , 65491
123,65272 , 65393 , 65491
124,65272 , 65392 , 65492
125,65272 , 65392 , 65492
126,65271 , 65392 , 65492
127,65272 , 65392 , 65492
128,65272 , 65392 , 65492
129,65271 , 65392 , 65492
130,65271 , 65392 , 65492
131,65271 , 65392 , 65491
132,65272 , 65394 , 65492
133,65272 , 65394 , 65492
134,65271 , 65392 , 65492
135,65271 , 65392 , 65492
136,65271 , 65392 , 65492
137,65272 , 65393 , 65493
138,65272 , 65393 , 65493
139,65271 , 65392 , 65492
140,65272 , 65394 , 65493
141,65272 , 65392 , 65492
142,65272 , 65393 , 65493
143,65272 , 65393 , 65493
144,65272 , 65392 , 65493
145,65272 , 65392 , 65492
146,65272 , 65393 , 65491
147,65272 , 65391 , 65492
148,65272 , 65391 , 65492
149,65273 , 65392 , 65492
150,65271 , 65393 , 65492
151,65272 , 65393 , 65492
152,65271 , 65393 , 65493
153,65271 , 65393 , 65493
154,65272 , 65393 , 65491
155,65272 , 65394 , 65491
156,65274 , 65395 , 65491
157,65274 , 65394 , 65492
158,65275 , 65394 , 65491
159,65275 , 65394 , 65491
160,65275 , 65396 , 65492
161,65280 , 65397 , 65491
162,65282 , 65398 , 65490
163,65282 , 65397 , 65490
164,65282 , 65397 , 65490
165,65283 , 65399 , 65489
166,65301 , 65403 , 65487
167,65303 , 65404 , 65488
168,65307 , 65403 , 65486
169,65307 , 65403 , 65486
170,65310 , 65404 , 65487
171,65339 , 65383 , 65485
172,65340 , 65378 , 65486
173,65342 , 65374 , 65485
174,65342 , 65374 , 65485
175,65342 , 65370 , 65487
176,65334 , 65343 , 65487
177,65334 , 65343 , 65487
178,65333 , 65340 , 65487
179,65333 , 65340 , 65487
180,65332 , 65338 , 65485
181,65324 , 65332 , 65482
182,65324 , 65332 , 65482
183,65322 , 65330 , 65483
184,65322 , 65330 , 65483
185,65322 , 65330 , 65481
186,65314 , 65305 , 65475
187,65314 , 65305 , 65475
188,65314 , 65303 , 65474
189,65314 , 65303 , 65474
190,65312 , 65300 , 65475
191,65294 , 65287 , 65469
192,65294 , 65287 , 65469
193,65291 , 65286 , 65467
194,65287 , 65285 , 65467
195,65287 , 65285 , 65467
196,65244 , 65292 , 65458
197,65244 , 65292 , 65458
198,65240 , 65296 , 65456
199,65236 , 65300 , 65456
200,65236 , 65300 , 65456
201,65212 , 65333 , 65422
202,65212 , 65333 , 65422
203,65211 , 65338 , 65416
204,65208 , 65342 , 65410
205,65208 , 65342 , 65410
206,65195 , 65401 , 65353
207,65195 , 65401 , 65353
208,65196 , 65408 , 65352
209,65198 , 65416 , 65352
210,65198 , 65416 , 65352
211,65218 , 65450 , 65361
212,65220 , 65452 , 65361
213,65220 , 65452 , 65361
214,65221 , 65452 , 65363
215,65221 , 65452 , 65363
216,65242 , 65461 , 65374
217,65243 , 65462 , 65375
218,65243 , 65462 , 65375
219,65243 , 65462 , 65375
220,65243 , 65462 , 65375
221,65242 , 65463 , 65375
222,65243 , 65462 , 65375
223,65243 , 65462 , 65375
224,65242 , 65462 , 65375
225,65242 , 65462 , 65375
226,65242 , 65465 , 65378
227,65241 , 65465 , 65377
228,65241 , 65465 , 65377
229,65241 , 65465 , 65377
230,65241 , 65465 , 65378
231,65241 , 65463 , 65377
232,65241 , 65465 , 65379
233,65241 , 65465 , 65379
234,65241 , 65464 , 65377
235,65241 , 65465 , 65378
236,65241 , 65464 , 65377
237,65241 , 65465 , 65378
238,65241 , 65465 , 65378
239,65242 , 65465 , 65379
240,65241 , 65465 , 65378
241,65241 , 65468 , 65380
242,65240 , 65468 , 65380
243,65240 , 65468 , 65380
244,65241 , 65467 , 65381
245,65240 , 65468 , 65381
246,65239 , 65467 , 65384
247,65239 , 65467 , 65385
248,65239 , 65466 , 65386
249,65239 , 65466 , 65386
250,65239 , 65467 , 65384
251,65238 , 65468 , 65386
252,65239 , 65467 , 65385
253,65239 , 65467 , 65385
254,65239 , 65467 , 65385
255,65239 , 65468 , 65385
256,65239 , 65467 , 65384
257,65238 , 65467 , 65385
258,65240 , 65467 , 65386
259,65240 , 65467 , 65386
260,65240 , 65467 , 65385
261,65240 , 65467 , 65384
262,65240 , 65467 , 65384
263,65240 , 65467 , 65384
264,65240 , 65467 , 65384
265,65240 , 65468 , 65384
266,65239 , 65467 , 65385
267,65239 , 65467 , 65385
268,65238 , 65467 , 65385
269,65238 , 65467 , 65385
270,65239 , 65467 , 65385
271,65239 , 65467 , 65386
272,65239 , 65467 , 65386
273,65239 , 65467 , 65386
274,65239 , 65467 , 65386
275,65239 , 65466 , 65386
276,65240 , 65467 , 65385
277,65240 , 65467 , 65385
278,65239 , 65466 , 65386
279,65240 , 65467 , 65385
280,65240 , 65467 , 65385
281,65239 , 65466 , 65385
282,65239 , 65466 , 65385
283,65238 , 65467 , 65385
284,65240 , 65467 , 65385
285,65240 , 65467 , 65385
286,65240 , 65466 , 65385
287,65240 , 65466 , 65385
288,65240 , 65467 , 65384
289,65239 , 65466 , 65385
290,65239 , 65466 , 65385
291,65239 , 65467 , 65385
292,65239 , 65467 , 65385
293,65239 , 65467 , 65385
294,65238 , 65468 , 65386
295,65238 , 65468 , 65386
296,65239 , 65467 , 65385
297,65239 , 65467 , 65385
298,65239 , 65467 , 65385
299,65240 , 65466 , 65384
300,65240 , 65466 , 65384
301,65240 , 65466 , 65384
302,65239 , 65466 , 65386
303,65239 , 65466 , 65386
304,65239 , 65467 , 65385
305,65239 , 65467 , 65385
306,65241 , 65468 , 65385
307,65239 , 65467 , 65385
308,65239 , 65467 , 65385
309,65240 , 65467 , 65386
310,65239 , 65466 , 65386
311,65239 , 65466 , 65384
312,65239 , 65468 , 65385
313,65239 , 65468 , 65385
314,65240 , 65466 , 65384
315,65239 , 65467 , 65386
316,65239 , 65466 , 65385
317,65240 , 65467 , 65385
318,65240 , 65467 , 65385
319,65239 , 65467 , 65384
320,65239 , 65466 , 65385
321,65240 , 65466 , 65385
322,65239 , 65467 , 65385
323,65239 , 65467 , 65385
324,65238 , 65465 , 65383
325,65240 , 65467 , 65386
326,65240 , 65466 , 65384
327,65240 , 65468 , 65385
328,65239 , 65467 , 65387
329,65239 , 65467 , 65387
330,65239 , 65466 , 65386
