i,X,Y,Z
0,65535 , 65369 , 112
1,65534 , 65370 , 112
2,65534 , 65370 , 112
3,0 , 65368 , 112
4,65534 , 65369 , 110
5,65535 , 65369 , 111
6,65535 , 65368 , 112
7,65535 , 65368 , 112
8,65535 , 65369 , 112
9,65535 , 65370 , 111
10,0 , 65369 , 112
11,65535 , 65368 , 112
12,65535 , 65368 , 112
13,65534 , 65370 , 112
14,65533 , 65370 , 112
15,0 , 65371 , 112
16,65535 , 65370 , 111
17,65535 , 65370 , 111
18,65535 , 65370 , 112
19,65535 , 65370 , 112
20,65534 , 65370 , 111
21,65535 , 65369 , 111
22,65535 , 65369 , 111
23,65534 , 65369 , 111
24,65534 , 65369 , 111
25,65534 , 65369 , 111
26,65535 , 65369 , 111
27,65535 , 65369 , 111
28,65535 , 65369 , 112
29,65535 , 65369 , 112
30,0 , 65368 , 112
31,65535 , 65370 , 112
32,65535 , 65370 , 112
33,65535 , 65369 , 112
34,65535 , 65369 , 112
35,65535 , 65370 , 112
36,65535 , 65370 , 112
37,65535 , 65370 , 112
38,65535 , 65370 , 112
39,65535 , 65370 , 112
40,65534 , 65369 , 111
41,65534 , 65370 , 111
42,65534 , 65370 , 111
43,65535 , 65369 , 112
44,65535 , 65369 , 112
45,65534 , 65368 , 111
46,65535 , 65369 , 111
47,65535 , 65369 , 111
48,65535 , 65369 , 112
49,65535 , 65369 , 112
50,65534 , 65369 , 111
51,65535 , 65370 , 111
52,65535 , 65370 , 111
53,65535 , 65370 , 112
54,65535 , 65370 , 112
55,0 , 65370 , 113
56,65535 , 65371 , 112
57,65535 , 65371 , 112
58,65533 , 65370 , 112
59,65533 , 65370 , 112
60,65534 , 65368 , 111
61,65534 , 65371 , 112
62,65534 , 65371 , 112
63,65535 , 65369 , 111
64,65535 , 65369 , 111
65,65535 , 65369 , 112
66,65535 , 65370 , 111
67,65535 , 65370 , 111
68,65535 , 65369 , 112
69,65535 , 65369 , 112
70,65535 , 65370 , 112
71,65535 , 65369 , 113
72,65535 , 65369 , 113
73,65534 , 65369 , 113
74,65534 , 65369 , 113
75,65534 , 65370 , 112
76,65534 , 65370 , 112
77,65535 , 65370 , 111
78,65535 , 65370 , 112
79,65535 , 65370 , 112
80,65534 , 65370 , 111
81,65534 , 65370 , 111
82,65534 , 65368 , 111
83,65535 , 65369 , 111
84,65535 , 65369 , 111
85,65535 , 65367 , 111
86,65535 , 65367 , 111
87,65534 , 65369 , 110
88,65534 , 65370 , 111
89,65534 , 65370 , 111
90,65533 , 65370 , 112
91,65533 , 65370 , 112
92,65535 , 65370 , 111
93,65535 , 65371 , 111
94,65535 , 65371 , 111
95,65535 , 65370 , 112
96,65535 , 65370 , 112
97,65534 , 65369 , 112
98,65535 , 65370 , 112
99,65535 , 65370 , 112
100,65535 , 65369 , 111
101,65535 , 65369 , 111
102,65535 , 65370 , 112
103,65534 , 65369 , 112
104,65534 , 65369 , 112
105,65535 , 65370 , 111
106,65535 , 65370 , 111
107,0 , 65370 , 112
108,65534 , 65371 , 111
109,65534 , 65371 , 111
110,65534 , 65369 , 111
111,65534 , 65369 , 111
112,0 , 65370 , 111
113,65535 , 65370 , 112
114,65535 , 65370 , 112
115,65535 , 65370 , 112
116,65535 , 65370 , 112
117,65533 , 65370 , 112
118,65534 , 65371 , 112
119,65534 , 65371 , 112
120,65535 , 65370 , 112
121,65535 , 65370 , 112
122,65535 , 65370 , 112
123,65534 , 65369 , 111
124,65534 , 65369 , 111
125,65534 , 65369 , 112
126,65534 , 65369 , 112
127,65533 , 65369 , 111
128,65535 , 65370 , 113
129,65535 , 65370 , 113
130,65535 , 65370 , 111
131,65535 , 65370 , 111
132,65535 , 65371 , 111
133,65535 , 65371 , 112
134,65535 , 65371 , 112
135,65535 , 65370 , 112
136,65535 , 65370 , 112
137,65534 , 65370 , 111
138,65535 , 65369 , 111
139,65535 , 65369 , 111
140,65534 , 65369 , 111
141,65534 , 65369 , 111
142,65534 , 65369 , 111
143,65535 , 65369 , 110
144,65535 , 65369 , 110
145,0 , 65369 , 110
146,0 , 65369 , 110
147,65534 , 65369 , 112
148,65534 , 65369 , 112
149,65534 , 65369 , 112
150,65534 , 65370 , 112
151,65534 , 65370 , 112
152,65533 , 65369 , 111
153,65533 , 65369 , 111
154,65535 , 65370 , 112
155,0 , 65371 , 112
156,0 , 65371 , 112
157,65533 , 65370 , 110
158,65533 , 65370 , 110
159,65534 , 65370 , 111
160,65534 , 65370 , 112
161,65534 , 65370 , 112
162,65535 , 65370 , 112
163,65535 , 65370 , 112
164,65535 , 65369 , 111
165,65535 , 65369 , 112
166,65535 , 65369 , 112
167,65534 , 65370 , 112
168,65534 , 65370 , 112
169,65534 , 65369 , 111
170,65534 , 65370 , 111
171,65534 , 65370 , 111
172,65534 , 65370 , 111
173,65534 , 65370 , 111
174,65535 , 65370 , 112
175,65534 , 65370 , 112
176,65534 , 65370 , 112
177,65534 , 65370 , 111
178,65534 , 65370 , 111
179,65535 , 65370 , 112
180,65534 , 65370 , 111
181,65534 , 65370 , 111
182,65535 , 65368 , 112
183,65535 , 65368 , 112
184,65535 , 65369 , 111
185,65534 , 65369 , 113
186,65534 , 65369 , 113
187,0 , 65370 , 110
188,0 , 65370 , 110
189,65535 , 65370 , 110
190,65534 , 65370 , 112
191,65534 , 65368 , 111
192,65534 , 65371 , 113
193,65534 , 65371 , 113
194,65534 , 65370 , 111
195,65535 , 65370 , 111
196,65535 , 65370 , 112
197,65534 , 65370 , 112
198,65534 , 65370 , 112
199,65534 , 65369 , 112
200,65534 , 65371 , 111
201,65535 , 65369 , 112
202,65534 , 65370 , 112
203,65534 , 65370 , 112
204,0 , 65370 , 111
205,65535 , 65369 , 111
206,65535 , 65369 , 113
207,65535 , 65370 , 111
208,65535 , 65370 , 111
209,65534 , 65370 , 111
210,65534 , 65371 , 112
211,0 , 65371 , 111
212,0 , 65369 , 112
213,0 , 65369 , 112
214,65534 , 65371 , 112
215,65534 , 65370 , 113
216,65535 , 65371 , 112
217,65535 , 65368 , 112
218,65535 , 65368 , 112
219,65534 , 65370 , 112
220,65534 , 65370 , 113
221,65534 , 65369 , 112
222,65534 , 65369 , 111
223,65534 , 65369 , 111
224,65534 , 65370 , 112
225,65535 , 65369 , 112
226,65534 , 65369 , 110
227,65534 , 65369 , 110
228,65535 , 65369 , 110
229,65534 , 65371 , 111
230,65534 , 65370 , 112
231,65535 , 65370 , 113
232,65535 , 65370 , 113
233,65535 , 65369 , 113
234,65534 , 65371 , 111
235,65535 , 65371 , 113
236,65533 , 65370 , 113
237,65533 , 65370 , 113
238,65535 , 65369 , 110
239,65535 , 65369 , 111
240,0 , 65370 , 112
241,65534 , 65370 , 112
242,65534 , 65370 , 112
243,65533 , 65370 , 111
244,65535 , 65369 , 111
245,65535 , 65368 , 112
246,65534 , 65368 , 112
247,65534 , 65368 , 112
248,65535 , 65370 , 111
249,65533 , 65370 , 111
250,65533 , 65369 , 112
251,65535 , 65370 , 112
252,65535 , 65370 , 112
253,65534 , 65370 , 111
254,65534 , 65370 , 111
255,65535 , 65370 , 111
256,65534 , 65369 , 112
257,65534 , 65369 , 112
258,65534 , 65370 , 113
259,65535 , 65369 , 112
260,65535 , 65370 , 112
261,65535 , 65369 , 112
262,65535 , 65369 , 112
263,0 , 65368 , 112
264,0 , 65367 , 112
265,65535 , 65370 , 112
266,65534 , 65370 , 112
267,65534 , 65370 , 112
268,65534 , 65370 , 113
269,65534 , 65370 , 113
270,65534 , 65369 , 112
271,65535 , 65370 , 113
272,65535 , 65370 , 113
273,65535 , 65369 , 113
274,65534 , 65369 , 112
275,65534 , 65369 , 112
276,65534 , 65370 , 111
277,65534 , 65370 , 111
278,65535 , 65370 , 112
279,65535 , 65371 , 112
280,0 , 65369 , 112
281,65535 , 65369 , 113
282,65535 , 65369 , 113
283,65535 , 65369 , 113
284,65534 , 65369 , 112
285,0 , 65369 , 111
286,65535 , 65370 , 113
287,65535 , 65370 , 113
288,65535 , 65370 , 112
289,65535 , 65370 , 112
290,65534 , 65370 , 112
291,65535 , 65370 , 112
292,65535 , 65370 , 112
293,65535 , 65371 , 111
294,65535 , 65371 , 111
295,65535 , 65370 , 112
296,65535 , 65369 , 112
297,65535 , 65369 , 112
298,65535 , 65369 , 112
299,65535 , 65369 , 112
300,0 , 65370 , 112
301,0 , 65368 , 112
302,0 , 65368 , 112
303,0 , 65369 , 112
304,0 , 65369 , 112
305,2 , 65369 , 112
306,2 , 65369 , 112
307,1 , 65369 , 112
308,2 , 65369 , 112
309,2 , 65369 , 112
310,7 , 65369 , 110
311,7 , 65369 , 110
312,7 , 65370 , 110
313,7 , 65370 , 110
314,8 , 65369 , 111
315,20 , 65366 , 109
316,20 , 65366 , 109
317,20 , 65366 , 107
318,20 , 65366 , 107
319,24 , 65365 , 108
320,61 , 65345 , 95
321,71 , 65337 , 91
322,79 , 65329 , 89
