i,X,Y,Z
0,131 , 65436 , 65387
1,130 , 65434 , 65385
2,131 , 65436 , 65386
3,131 , 65436 , 65386
4,130 , 65435 , 65385
5,130 , 65436 , 65386
6,131 , 65436 , 65384
7,131 , 65435 , 65387
8,131 , 65435 , 65387
9,131 , 65434 , 65387
10,131 , 65435 , 65386
11,129 , 65435 , 65386
12,131 , 65435 , 65387
13,131 , 65435 , 65387
14,130 , 65435 , 65385
15,131 , 65435 , 65386
16,130 , 65435 , 65386
17,131 , 65436 , 65386
18,131 , 65436 , 65386
19,130 , 65436 , 65386
20,130 , 65436 , 65386
21,130 , 65435 , 65386
22,131 , 65437 , 65386
23,131 , 65437 , 65386
24,131 , 65436 , 65386
25,130 , 65436 , 65386
26,130 , 65435 , 65387
27,130 , 65436 , 65386
28,130 , 65436 , 65386
29,131 , 65435 , 65387
30,130 , 65435 , 65386
31,130 , 65435 , 65386
32,131 , 65436 , 65385
33,131 , 65436 , 65385
34,131 , 65435 , 65385
35,131 , 65435 , 65386
36,130 , 65436 , 65385
37,130 , 65435 , 65386
38,130 , 65435 , 65386
39,131 , 65435 , 65385
40,131 , 65435 , 65385
41,130 , 65436 , 65385
42,130 , 65435 , 65385
43,130 , 65435 , 65385
44,131 , 65435 , 65385
45,131 , 65435 , 65385
46,131 , 65436 , 65385
47,132 , 65435 , 65387
48,132 , 65435 , 65387
49,131 , 65435 , 65386
50,131 , 65435 , 65386
51,130 , 65435 , 65385
52,130 , 65435 , 65386
53,130 , 65435 , 65386
54,130 , 65435 , 65385
55,130 , 65435 , 65385
56,131 , 65435 , 65386
57,130 , 65435 , 65387
58,130 , 65435 , 65387
59,131 , 65436 , 65387
60,131 , 65436 , 65387
61,130 , 65436 , 65387
62,130 , 65436 , 65386
63,130 , 65436 , 65386
64,131 , 65436 , 65386
65,131 , 65436 , 65386
66,130 , 65435 , 65386
67,132 , 65436 , 65386
68,132 , 65436 , 65386
69,130 , 65435 , 65386
70,130 , 65435 , 65386
71,130 , 65436 , 65385
72,130 , 65436 , 65386
73,130 , 65436 , 65386
74,131 , 65437 , 65386
75,131 , 65437 , 65386
76,130 , 65436 , 65386
77,131 , 65436 , 65385
78,131 , 65436 , 65385
79,130 , 65435 , 65386
80,130 , 65435 , 65386
81,129 , 65435 , 65386
82,130 , 65435 , 65386
83,130 , 65435 , 65386
84,130 , 65436 , 65386
85,130 , 65436 , 65386
86,130 , 65434 , 65385
87,131 , 65436 , 65386
88,131 , 65436 , 65386
89,130 , 65436 , 65385
90,130 , 65436 , 65385
91,132 , 65435 , 65386
92,130 , 65435 , 65385
93,130 , 65435 , 65385
94,130 , 65437 , 65385
95,130 , 65437 , 65385
96,131 , 65436 , 65386
97,129 , 65435 , 65387
98,129 , 65435 , 65387
99,130 , 65436 , 65386
100,130 , 65436 , 65386
101,130 , 65436 , 65386
102,130 , 65436 , 65385
103,130 , 65436 , 65385
104,131 , 65436 , 65386
105,131 , 65436 , 65386
106,131 , 65436 , 65386
107,131 , 65435 , 65386
108,131 , 65435 , 65386
109,130 , 65435 , 65386
110,130 , 65435 , 65386
111,130 , 65435 , 65386
112,130 , 65435 , 65385
113,130 , 65435 , 65385
114,130 , 65435 , 65386
115,130 , 65435 , 65386
116,131 , 65436 , 65386
117,130 , 65436 , 65386
118,130 , 65436 , 65386
119,131 , 65436 , 65387
120,131 , 65436 , 65387
121,131 , 65436 , 65387
122,130 , 65437 , 65386
123,130 , 65437 , 65386
124,130 , 65435 , 65385
125,130 , 65435 , 65385
126,130 , 65435 , 65385
127,131 , 65437 , 65385
128,131 , 65437 , 65385
129,131 , 65436 , 65385
130,131 , 65436 , 65385
131,131 , 65437 , 65384
132,131 , 65437 , 65384
133,131 , 65438 , 65384
134,131 , 65438 , 65382
135,131 , 65438 , 65382
136,135 , 65443 , 65378
137,135 , 65443 , 65378
138,135 , 65444 , 65377
139,136 , 65446 , 65376
140,136 , 65446 , 65376
141,148 , 65456 , 65358
142,148 , 65456 , 65358
143,152 , 65456 , 65354
144,154 , 65456 , 65353
145,154 , 65456 , 65353
146,167 , 65419 , 65342
147,167 , 65419 , 65342
148,161 , 65418 , 65343
149,154 , 65420 , 65345
150,154 , 65420 , 65345
151,180 , 65433 , 65366
152,180 , 65433 , 65366
153,181 , 65421 , 65367
154,179 , 65409 , 65370
155,179 , 65409 , 65370
156,156 , 65406 , 65352
157,156 , 65406 , 65352
158,156 , 65404 , 65348
159,156 , 65403 , 65345
160,156 , 65403 , 65345
161,161 , 65391 , 65334
162,161 , 65391 , 65334
163,161 , 65388 , 65335
164,159 , 65385 , 65334
165,159 , 65385 , 65334
166,141 , 65365 , 65332
167,141 , 65365 , 65332
168,140 , 65363 , 65331
169,137 , 65364 , 65332
170,137 , 65364 , 65332
171,133 , 65363 , 65330
172,133 , 65363 , 65330
173,135 , 65363 , 65330
174,135 , 65363 , 65330
175,135 , 65363 , 65330
176,135 , 65363 , 65330
177,135 , 65363 , 65330
178,135 , 65362 , 65329
179,136 , 65362 , 65331
180,136 , 65362 , 65331
181,137 , 65361 , 65332
182,137 , 65361 , 65332
183,137 , 65360 , 65332
184,136 , 65361 , 65333
185,136 , 65361 , 65333
186,136 , 65360 , 65333
187,136 , 65360 , 65333
188,135 , 65360 , 65332
189,137 , 65360 , 65333
190,137 , 65360 , 65333
191,136 , 65360 , 65332
192,136 , 65360 , 65332
193,138 , 65360 , 65334
194,138 , 65360 , 65336
195,138 , 65360 , 65336
196,140 , 65361 , 65336
197,140 , 65361 , 65336
198,139 , 65361 , 65337
199,138 , 65362 , 65339
200,138 , 65362 , 65339
201,137 , 65362 , 65338
202,137 , 65362 , 65338
203,139 , 65361 , 65339
204,137 , 65361 , 65339
205,137 , 65361 , 65339
206,136 , 65362 , 65340
207,136 , 65362 , 65340
208,137 , 65361 , 65339
209,137 , 65361 , 65339
210,137 , 65361 , 65339
211,137 , 65361 , 65339
212,137 , 65361 , 65339
213,137 , 65361 , 65338
214,136 , 65361 , 65339
215,136 , 65361 , 65339
216,138 , 65362 , 65338
217,138 , 65362 , 65338
218,137 , 65361 , 65338
219,137 , 65362 , 65339
220,137 , 65362 , 65339
221,137 , 65361 , 65339
222,137 , 65361 , 65339
223,138 , 65362 , 65340
224,138 , 65362 , 65339
225,138 , 65362 , 65339
226,136 , 65360 , 65335
227,136 , 65360 , 65335
228,137 , 65361 , 65335
229,135 , 65360 , 65334
230,135 , 65360 , 65334
231,136 , 65360 , 65335
232,136 , 65360 , 65335
233,137 , 65360 , 65335
234,137 , 65360 , 65336
235,137 , 65360 , 65336
236,137 , 65361 , 65335
237,137 , 65361 , 65335
238,137 , 65360 , 65335
239,137 , 65360 , 65335
240,137 , 65360 , 65335
241,137 , 65360 , 65335
242,137 , 65360 , 65335
243,136 , 65360 , 65335
244,136 , 65360 , 65335
245,137 , 65361 , 65334
246,137 , 65359 , 65335
247,137 , 65359 , 65335
248,137 , 65360 , 65334
249,137 , 65360 , 65334
250,137 , 65361 , 65333
251,136 , 65360 , 65335
252,136 , 65360 , 65335
253,136 , 65361 , 65334
254,136 , 65361 , 65334
255,137 , 65361 , 65335
256,137 , 65361 , 65334
257,137 , 65361 , 65334
258,136 , 65361 , 65334
259,136 , 65361 , 65334
260,137 , 65362 , 65335
261,137 , 65360 , 65336
262,137 , 65360 , 65336
263,137 , 65360 , 65336
264,137 , 65360 , 65336
265,137 , 65360 , 65335
266,137 , 65360 , 65335
267,137 , 65360 , 65335
268,136 , 65360 , 65334
269,136 , 65360 , 65334
270,136 , 65360 , 65334
271,138 , 65361 , 65334
272,138 , 65361 , 65334
273,137 , 65361 , 65335
274,137 , 65361 , 65335
275,136 , 65361 , 65336
276,137 , 65360 , 65336
277,137 , 65360 , 65336
278,138 , 65360 , 65335
279,138 , 65360 , 65335
280,137 , 65360 , 65334
281,135 , 65361 , 65333
282,135 , 65361 , 65333
283,135 , 65360 , 65333
284,135 , 65360 , 65333
285,136 , 65361 , 65332
286,136 , 65361 , 65333
287,136 , 65361 , 65333
288,136 , 65360 , 65333
289,136 , 65360 , 65333
290,135 , 65360 , 65333
291,135 , 65361 , 65333
292,135 , 65361 , 65333
293,136 , 65360 , 65333
294,136 , 65360 , 65333
295,135 , 65361 , 65333
296,136 , 65361 , 65332
297,136 , 65361 , 65332
298,135 , 65361 , 65334
299,135 , 65361 , 65334
300,136 , 65361 , 65333
301,136 , 65360 , 65332
302,137 , 65360 , 65332
303,137 , 65361 , 65332
304,137 , 65361 , 65332
305,136 , 65361 , 65332
306,136 , 65360 , 65332
307,136 , 65359 , 65331
308,136 , 65361 , 65332
309,136 , 65361 , 65332
310,136 , 65360 , 65333
311,136 , 65360 , 65331
312,137 , 65361 , 65332
313,136 , 65360 , 65331
314,136 , 65360 , 65331
315,136 , 65361 , 65333
316,135 , 65360 , 65331
317,136 , 65360 , 65332
318,135 , 65361 , 65332
319,135 , 65361 , 65332
320,137 , 65360 , 65333
321,137 , 65360 , 65333
322,135 , 65361 , 65332
323,136 , 65361 , 65332
324,136 , 65361 , 65332
325,136 , 65360 , 65331
326,139 , 65361 , 65336
327,138 , 65361 , 65337
328,138 , 65361 , 65337
329,138 , 65361 , 65337
330,138 , 65360 , 65337
331,138 , 65362 , 65337
332,138 , 65361 , 65337
333,138 , 65361 , 65337
334,138 , 65361 , 65337
335,139 , 65361 , 65338
336,148 , 65367 , 65339
337,152 , 65368 , 65339
338,154 , 65370 , 65340
339,154 , 65370 , 65340
340,157 , 65372 , 65340
341,157 , 65400 , 65337
342,157 , 65400 , 65338
343,158 , 65402 , 65340
344,158 , 65402 , 65340
345,158 , 65403 , 65344
346,169 , 65395 , 65372
347,179 , 65407 , 65369
348,182 , 65423 , 65367
349,182 , 65423 , 65367
350,176 , 65438 , 65365
351,166 , 65417 , 65341
352,174 , 65421 , 65341
353,178 , 65427 , 65341
354,178 , 65427 , 65341
355,179 , 65434 , 65342
356,143 , 65454 , 65365
357,140 , 65451 , 65368
358,139 , 65451 , 65370
359,139 , 65451 , 65370
360,137 , 65448 , 65371
361,134 , 65441 , 65381
362,134 , 65440 , 65381
363,132 , 65439 , 65380
364,132 , 65439 , 65380
365,133 , 65438 , 65383
366,132 , 65436 , 65384
367,130 , 65437 , 65385
368,130 , 65436 , 65385
369,130 , 65436 , 65385
370,131 , 65436 , 65386
371,130 , 65435 , 65386
372,132 , 65436 , 65385
373,130 , 65435 , 65386
374,130 , 65435 , 65386
375,130 , 65436 , 65385
376,130 , 65435 , 65386
377,131 , 65435 , 65386
378,130 , 65435 , 65385
379,130 , 65435 , 65385
380,130 , 65435 , 65386
381,130 , 65435 , 65385
382,132 , 65435 , 65385
383,129 , 65435 , 65385
384,129 , 65435 , 65385
385,131 , 65436 , 65386
386,130 , 65434 , 65385
387,131 , 65436 , 65386
388,130 , 65435 , 65387
389,130 , 65435 , 65387
390,130 , 65436 , 65385
