i,X,Y,Z
242,65472 , 65380 , 66
243,65472 , 65380 , 66
244,65473 , 65384 , 71
245,65473 , 65384 , 71
246,65472 , 65385 , 74
247,65480 , 65401 , 106
248,65480 , 65401 , 106
249,65480 , 65402 , 109
250,65480 , 65402 , 109
251,65480 , 65404 , 111
252,65492 , 65414 , 141
253,65492 , 65414 , 141
254,65493 , 65414 , 146
255,65493 , 65414 , 146
256,65495 , 65415 , 149
257,65501 , 65423 , 178
258,65501 , 65423 , 178
259,65502 , 65424 , 180
260,65502 , 65424 , 180
261,65503 , 65425 , 182
262,65510 , 65433 , 197
263,65510 , 65433 , 197
264,65509 , 65433 , 198
265,65509 , 65433 , 198
266,65512 , 65435 , 199
267,65513 , 65435 , 202
268,65513 , 65435 , 202
269,65512 , 65436 , 201
270,65512 , 65436 , 201
271,65513 , 65435 , 202
272,65512 , 65434 , 201
273,65512 , 65434 , 201
274,65513 , 65435 , 201
275,65513 , 65435 , 201
276,65513 , 65436 , 202
277,65513 , 65437 , 198
278,65513 , 65437 , 198
279,65514 , 65438 , 198
280,65514 , 65438 , 198
281,65512 , 65438 , 198
282,65513 , 65438 , 198
283,65513 , 65438 , 198
284,65513 , 65437 , 199
285,65513 , 65437 , 199
286,65513 , 65437 , 198
287,65512 , 65428 , 194
288,65512 , 65428 , 194
289,65510 , 65424 , 194
290,65510 , 65424 , 194
291,65512 , 65425 , 194
292,65511 , 65424 , 194
293,65511 , 65424 , 194
294,65511 , 65423 , 194
295,65511 , 65423 , 194
296,65509 , 65424 , 195
297,65510 , 65424 , 194
298,65510 , 65424 , 194
299,65510 , 65424 , 195
300,65510 , 65424 , 195
301,65511 , 65425 , 196
302,65511 , 65424 , 195
303,65511 , 65424 , 195
304,65511 , 65424 , 195
305,65511 , 65424 , 195
306,65510 , 65425 , 195
307,65511 , 65425 , 194
308,65511 , 65425 , 194
309,65510 , 65424 , 195
310,65510 , 65424 , 195
311,65510 , 65424 , 195
312,65509 , 65424 , 195
313,65509 , 65424 , 195
314,65509 , 65423 , 196
315,65509 , 65423 , 196
316,65511 , 65424 , 195
317,65510 , 65425 , 195
318,65510 , 65425 , 195
319,65511 , 65425 , 196
320,65511 , 65425 , 196
321,65511 , 65424 , 195
322,65510 , 65425 , 195
323,65510 , 65425 , 195
324,65511 , 65424 , 196
325,65511 , 65424 , 196
326,65510 , 65424 , 195
327,65510 , 65425 , 195
328,65510 , 65425 , 195
329,65509 , 65424 , 195
330,65509 , 65424 , 195
331,65509 , 65423 , 196
332,65511 , 65425 , 196
333,65511 , 65425 , 196
334,65509 , 65425 , 196
335,65509 , 65425 , 196
336,65511 , 65424 , 197
337,65511 , 65424 , 195
338,65511 , 65424 , 195
339,65510 , 65424 , 195
340,65510 , 65424 , 195
341,65510 , 65424 , 197
342,65511 , 65424 , 195
343,65511 , 65424 , 195
344,65510 , 65424 , 195
345,65510 , 65424 , 195
346,65509 , 65423 , 195
347,65510 , 65424 , 195
348,65510 , 65424 , 195
349,65511 , 65424 , 195
350,65511 , 65424 , 195
351,65510 , 65424 , 195
352,65510 , 65424 , 196
353,65510 , 65424 , 196
354,65511 , 65423 , 196
355,65511 , 65423 , 196
356,65510 , 65424 , 195
357,65509 , 65424 , 195
358,65509 , 65424 , 195
359,65510 , 65423 , 196
360,65510 , 65423 , 196
361,65511 , 65424 , 195
362,65510 , 65424 , 196
363,65510 , 65424 , 196
364,65509 , 65423 , 195
365,65509 , 65423 , 195
366,65510 , 65424 , 196
367,65512 , 65424 , 195
368,65512 , 65424 , 195
369,65510 , 65424 , 196
370,65510 , 65424 , 196
371,65510 , 65423 , 195
372,65510 , 65424 , 196
373,65510 , 65424 , 196
374,65510 , 65423 , 195
375,65510 , 65423 , 195
376,65510 , 65424 , 195
377,65511 , 65423 , 195
378,65511 , 65423 , 195
379,65510 , 65424 , 195
380,65510 , 65424 , 195
381,65510 , 65423 , 196
382,65510 , 65424 , 196
383,65510 , 65424 , 196
384,65510 , 65425 , 196
385,65510 , 65425 , 196
386,65510 , 65423 , 195
387,65512 , 65424 , 195
388,65512 , 65424 , 195
389,65510 , 65424 , 196
390,65510 , 65424 , 196
391,65510 , 65422 , 195
392,65510 , 65423 , 196
393,65510 , 65423 , 196
394,65511 , 65423 , 195
395,65511 , 65423 , 196
396,65510 , 65423 , 196
397,65510 , 65424 , 196
398,65510 , 65424 , 196
399,65510 , 65423 , 197
400,65510 , 65423 , 196
401,65510 , 65423 , 196
402,65510 , 65423 , 197
403,65510 , 65423 , 197
404,65511 , 65423 , 196
405,65510 , 65423 , 196
406,65510 , 65423 , 196
407,65510 , 65423 , 196
408,65510 , 65423 , 196
409,65510 , 65424 , 196
410,65509 , 65424 , 196
411,65509 , 65424 , 196
412,65511 , 65423 , 196
413,65511 , 65423 , 196
414,65511 , 65423 , 196
415,65511 , 65423 , 196
416,65511 , 65423 , 196
417,65511 , 65424 , 196
418,65511 , 65424 , 196
419,65510 , 65423 , 196
420,65509 , 65423 , 196
421,65509 , 65423 , 196
422,65511 , 65424 , 196
423,65511 , 65424 , 196
424,65510 , 65422 , 196
425,65510 , 65423 , 197
426,65510 , 65423 , 197
427,65510 , 65424 , 196
428,65510 , 65424 , 196
429,65510 , 65423 , 196
430,65511 , 65424 , 196
431,65511 , 65424 , 196
432,65510 , 65424 , 196
433,65510 , 65424 , 196
434,65509 , 65424 , 196
435,65511 , 65423 , 195
436,65511 , 65423 , 195
437,65511 , 65423 , 196
438,65511 , 65423 , 196
439,65510 , 65424 , 197
440,65511 , 65423 , 196
441,65511 , 65423 , 196
442,65510 , 65423 , 195
443,65510 , 65423 , 195
444,65510 , 65423 , 197
445,65510 , 65423 , 196
446,65510 , 65423 , 196
447,65511 , 65423 , 196
448,65511 , 65423 , 196
449,65510 , 65423 , 196
450,65510 , 65423 , 197
451,65510 , 65423 , 197
452,65510 , 65423 , 195
453,65510 , 65423 , 195
454,65510 , 65423 , 196
455,65510 , 65423 , 196
456,65510 , 65423 , 196
457,65510 , 65425 , 196
458,65510 , 65425 , 196
459,65509 , 65423 , 196
460,65510 , 65423 , 196
461,65510 , 65423 , 196
462,65511 , 65435 , 199
463,65511 , 65435 , 199
464,65512 , 65434 , 199
465,65511 , 65435 , 201
466,65511 , 65435 , 201
467,65511 , 65435 , 200
468,65511 , 65435 , 200
469,65511 , 65436 , 200
470,65511 , 65435 , 199
471,65511 , 65435 , 199
472,65511 , 65436 , 200
473,65511 , 65436 , 200
474,65512 , 65436 , 200
475,65511 , 65435 , 200
476,65511 , 65435 , 200
477,65510 , 65435 , 200
478,65510 , 65435 , 200
479,65510 , 65435 , 200
480,65512 , 65434 , 200
481,65512 , 65434 , 200
482,65510 , 65435 , 200
483,65510 , 65435 , 200
484,65511 , 65435 , 199
485,65511 , 65435 , 201
486,65511 , 65435 , 201
487,65510 , 65435 , 199
488,65510 , 65435 , 199
489,65511 , 65434 , 200
490,65511 , 65434 , 200
491,65511 , 65434 , 200
492,65508 , 65432 , 204
493,65508 , 65432 , 204
494,65508 , 65432 , 203
495,65509 , 65434 , 202
496,65509 , 65434 , 202
497,65511 , 65435 , 201
498,65511 , 65435 , 201
499,65511 , 65434 , 201
500,65510 , 65433 , 200
501,65510 , 65433 , 200
502,65510 , 65434 , 201
503,65510 , 65434 , 201
504,65511 , 65433 , 200
505,65512 , 65434 , 201
506,65512 , 65434 , 201
507,65513 , 65436 , 202
508,65513 , 65436 , 202
509,65513 , 65434 , 201
510,65512 , 65436 , 202
511,65512 , 65436 , 202
512,65513 , 65436 , 202
513,65513 , 65436 , 202
514,65512 , 65430 , 208
515,65512 , 65433 , 206
516,65512 , 65433 , 206
517,65513 , 65437 , 201
518,65513 , 65436 , 201
519,65513 , 65436 , 201
520,65513 , 65436 , 201
521,65513 , 65436 , 201
522,65510 , 65433 , 196
523,65508 , 65431 , 193
524,65508 , 65431 , 193
525,65508 , 65431 , 189
526,65508 , 65431 , 189
527,65494 , 65416 , 141
528,65491 , 65413 , 134
529,65491 , 65413 , 134
530,65487 , 65410 , 124
531,65487 , 65410 , 124
532,65485 , 65360 , 8
533,65490 , 65355 , 65525
534,65490 , 65355 , 65525
535,65492 , 65348 , 65502
536,65492 , 65348 , 65502
537,85 , 65304 , 65219
538,107 , 65318 , 65181
539,107 , 65318 , 65181
540,125 , 65336 , 65146
541,125 , 65336 , 65146
