i,X,Y,Z
0,2 , 65384 , 123
1,3 , 65384 , 122
2,3 , 65384 , 122
3,3 , 65384 , 122
4,3 , 65384 , 122
5,2 , 65385 , 122
6,2 , 65385 , 122
7,2 , 65385 , 122
8,3 , 65384 , 122
9,3 , 65384 , 122
10,2 , 65385 , 123
11,2 , 65385 , 123
12,3 , 65385 , 122
13,1 , 65384 , 123
14,1 , 65384 , 123
15,3 , 65385 , 123
16,2 , 65385 , 123
17,2 , 65385 , 123
18,2 , 65385 , 123
19,2 , 65384 , 122
20,2 , 65384 , 122
21,2 , 65384 , 121
22,2 , 65385 , 123
23,2 , 65385 , 123
24,3 , 65384 , 122
25,3 , 65384 , 122
26,2 , 65385 , 122
27,1 , 65385 , 121
28,1 , 65385 , 121
29,1 , 65385 , 121
30,1 , 65385 , 121
31,1 , 65385 , 122
32,1 , 65385 , 122
33,1 , 65384 , 123
34,1 , 65384 , 122
35,1 , 65384 , 122
36,2 , 65385 , 122
37,2 , 65385 , 122
38,2 , 65385 , 123
39,2 , 65385 , 123
40,2 , 65385 , 122
41,2 , 65384 , 123
42,2 , 65384 , 123
43,1 , 65384 , 122
44,1 , 65384 , 122
45,2 , 65385 , 123
46,3 , 65385 , 123
47,2 , 65385 , 123
48,2 , 65385 , 123
49,2 , 65385 , 123
50,2 , 65384 , 123
51,1 , 65384 , 122
52,2 , 65384 , 122
53,2 , 65384 , 122
54,1 , 65384 , 121
55,1 , 65385 , 122
56,2 , 65385 , 122
57,0 , 65384 , 124
58,0 , 65384 , 124
59,2 , 65385 , 122
60,2 , 65385 , 123
61,2 , 65384 , 123
62,1 , 65384 , 123
63,1 , 65384 , 123
64,2 , 65384 , 121
65,2 , 65384 , 121
66,1 , 65385 , 121
67,3 , 65385 , 122
68,3 , 65385 , 122
69,3 , 65385 , 122
70,3 , 65385 , 122
71,1 , 65384 , 122
72,1 , 65384 , 122
73,2 , 65385 , 122
74,2 , 65386 , 122
75,2 , 65386 , 122
76,2 , 65385 , 122
77,2 , 65385 , 122
78,2 , 65384 , 123
79,2 , 65384 , 123
80,2 , 65385 , 123
81,2 , 65385 , 121
82,2 , 65385 , 121
83,2 , 65384 , 123
84,2 , 65384 , 123
85,2 , 65384 , 123
86,2 , 65385 , 123
87,2 , 65384 , 122
88,2 , 65385 , 122
89,2 , 65385 , 122
90,2 , 65387 , 123
91,2 , 65385 , 123
92,2 , 65385 , 122
93,2 , 65385 , 122
94,3 , 65384 , 122
95,3 , 65384 , 122
96,1 , 65384 , 121
97,3 , 65386 , 123
98,3 , 65386 , 123
99,1 , 65385 , 122
100,1 , 65385 , 122
101,1 , 65385 , 122
102,2 , 65384 , 122
103,2 , 65384 , 122
104,2 , 65385 , 122
105,2 , 65385 , 122
106,2 , 65385 , 121
107,2 , 65385 , 121
108,1 , 65384 , 122
109,3 , 65385 , 122
110,3 , 65385 , 122
111,2 , 65384 , 122
112,2 , 65384 , 122
113,2 , 65385 , 122
114,2 , 65385 , 121
115,1 , 65384 , 121
116,2 , 65385 , 123
117,2 , 65385 , 123
118,2 , 65385 , 122
119,2 , 65385 , 122
120,2 , 65385 , 122
121,2 , 65385 , 122
122,2 , 65385 , 122
123,2 , 65384 , 122
124,2 , 65384 , 122
125,2 , 65386 , 122
126,1 , 65385 , 122
127,2 , 65385 , 123
128,3 , 65385 , 122
129,3 , 65385 , 122
130,2 , 65384 , 123
131,1 , 65384 , 122
132,3 , 65385 , 122
133,3 , 65385 , 122
134,1 , 65384 , 121
135,2 , 65385 , 122
136,2 , 65385 , 122
137,2 , 65385 , 121
138,2 , 65385 , 121
139,1 , 65385 , 122
140,1 , 65385 , 122
141,1 , 65386 , 123
142,1 , 65384 , 122
143,1 , 65384 , 122
144,2 , 65385 , 122
145,2 , 65385 , 122
146,2 , 65385 , 122
147,2 , 65385 , 122
148,2 , 65385 , 122
149,2 , 65384 , 122
150,2 , 65384 , 122
151,1 , 65384 , 123
152,1 , 65384 , 123
153,2 , 65385 , 122
154,2 , 65385 , 122
155,2 , 65385 , 121
156,2 , 65385 , 121
157,2 , 65385 , 121
158,3 , 65385 , 122
159,3 , 65385 , 122
160,3 , 65385 , 121
161,1 , 65386 , 122
162,0 , 65386 , 122
163,2 , 65385 , 122
164,2 , 65385 , 122
165,1 , 65385 , 122
166,2 , 65385 , 122
167,2 , 65384 , 122
168,2 , 65384 , 122
169,2 , 65385 , 121
170,1 , 65384 , 122
171,2 , 65386 , 121
172,65535 , 65386 , 124
173,65535 , 65386 , 124
174,0 , 65386 , 124
175,0 , 65386 , 123
176,1 , 65384 , 121
177,2 , 65385 , 122
178,2 , 65385 , 122
179,1 , 65385 , 122
180,1 , 65385 , 122
181,3 , 65385 , 123
182,3 , 65386 , 123
183,3 , 65386 , 123
184,1 , 65386 , 122
185,1 , 65386 , 122
186,2 , 65386 , 122
187,2 , 65386 , 122
188,1 , 65384 , 123
189,2 , 65385 , 122
190,2 , 65385 , 122
191,2 , 65386 , 120
192,2 , 65386 , 120
193,2 , 65385 , 122
194,2 , 65385 , 122
195,2 , 65384 , 122
196,2 , 65386 , 122
197,2 , 65386 , 122
198,4 , 65385 , 121
199,4 , 65385 , 121
200,2 , 65385 , 122
201,2 , 65386 , 122
202,2 , 65386 , 121
203,2 , 65385 , 121
204,2 , 65385 , 121
205,2 , 65385 , 121
206,2 , 65385 , 121
207,2 , 65385 , 122
208,2 , 65385 , 121
209,1 , 65385 , 121
210,2 , 65384 , 122
211,2 , 65386 , 122
212,2 , 65386 , 122
213,2 , 65386 , 122
214,2 , 65384 , 121
215,3 , 65385 , 121
216,2 , 65385 , 121
217,2 , 65385 , 122
218,2 , 65385 , 122
219,3 , 65385 , 120
220,3 , 65385 , 120
221,5 , 65384 , 121
222,4 , 65385 , 121
223,4 , 65385 , 121
224,5 , 65385 , 120
225,5 , 65385 , 120
226,10 , 65386 , 116
227,10 , 65386 , 116
228,10 , 65384 , 116
229,12 , 65385 , 117
230,12 , 65385 , 117
231,35 , 65373 , 102
232,35 , 65373 , 102
233,44 , 65368 , 100
234,44 , 65368 , 100
235,50 , 65363 , 97
236,65293 , 65206 , 18
237,65293 , 65206 , 18
238,65298 , 65342 , 0
239,65298 , 65342 , 0
240,65357 , 65437 , 65517
241,114 , 65450 , 65072
242,114 , 65450 , 65072
243,132 , 65448 , 65048
244,132 , 65448 , 65048
245,148 , 65438 , 65045
246,11 , 65305 , 65368
247,11 , 65305 , 65368
248,65534 , 65310 , 65397
249,65534 , 65310 , 65397
250,65524 , 65318 , 65422
251,65484 , 65362 , 39
252,65484 , 65362 , 39
253,65481 , 65367 , 48
254,65481 , 65367 , 48
255,65481 , 65372 , 59
256,65488 , 65404 , 120
257,65488 , 65404 , 120
258,65490 , 65405 , 125
259,65490 , 65405 , 125
260,65490 , 65406 , 126
261,65501 , 65413 , 155
262,65501 , 65413 , 155
263,65501 , 65414 , 157
264,65501 , 65414 , 157
265,65502 , 65414 , 160
266,65505 , 65418 , 176
267,65505 , 65418 , 176
268,65506 , 65418 , 178
269,65506 , 65418 , 178
270,65507 , 65418 , 180
271,65510 , 65423 , 191
272,65510 , 65423 , 191
273,65510 , 65424 , 192
274,65511 , 65424 , 195
275,65511 , 65424 , 195
276,65515 , 65428 , 200
277,65515 , 65428 , 200
278,65514 , 65429 , 200
279,65515 , 65428 , 201
280,65515 , 65428 , 201
281,65515 , 65428 , 200
282,65515 , 65428 , 200
283,65515 , 65428 , 201
284,65513 , 65427 , 201
285,65513 , 65427 , 201
286,65515 , 65430 , 197
287,65515 , 65430 , 197
288,65516 , 65429 , 197
289,65514 , 65430 , 198
290,65514 , 65430 , 198
291,65513 , 65419 , 192
292,65513 , 65419 , 192
293,65513 , 65418 , 191
294,65513 , 65417 , 192
295,65513 , 65417 , 192
296,65512 , 65417 , 191
297,65512 , 65417 , 191
298,65512 , 65416 , 193
299,65512 , 65417 , 193
300,65512 , 65417 , 193
301,65512 , 65417 , 192
302,65512 , 65417 , 192
303,65513 , 65417 , 195
304,65512 , 65417 , 194
305,65512 , 65417 , 194
306,65511 , 65417 , 193
307,65511 , 65417 , 193
308,65512 , 65416 , 194
309,65511 , 65416 , 193
310,65511 , 65416 , 193
311,65512 , 65416 , 194
312,65512 , 65416 , 194
313,65513 , 65417 , 193
314,65512 , 65417 , 194
315,65512 , 65417 , 194
316,65513 , 65416 , 194
317,65513 , 65416 , 194
318,65512 , 65417 , 194
319,65512 , 65417 , 193
320,65512 , 65417 , 193
321,65513 , 65416 , 193
322,65513 , 65416 , 193
323,65512 , 65417 , 192
324,65513 , 65417 , 194
325,65513 , 65417 , 194
326,65512 , 65416 , 195
327,65512 , 65416 , 195
328,65511 , 65417 , 193
329,65513 , 65416 , 193
330,65513 , 65416 , 193
331,65512 , 65417 , 193
332,65512 , 65416 , 192
333,65512 , 65416 , 192
334,65512 , 65417 , 194
335,65512 , 65417 , 194
336,65513 , 65417 , 194
337,65513 , 65418 , 193
338,65513 , 65418 , 193
339,65513 , 65417 , 194
340,65513 , 65417 , 194
341,65512 , 65416 , 194
342,65513 , 65416 , 193
343,65513 , 65416 , 193
344,65512 , 65418 , 194
345,65512 , 65418 , 194
346,65513 , 65417 , 194
347,65512 , 65417 , 194
348,65512 , 65417 , 194
349,65512 , 65417 , 194
350,65512 , 65417 , 194
351,65511 , 65417 , 194
352,65512 , 65418 , 193
353,65512 , 65418 , 193
354,65513 , 65417 , 193
355,65513 , 65417 , 193
356,65512 , 65416 , 194
357,65512 , 65417 , 193
358,65512 , 65417 , 193
359,65512 , 65416 , 194
360,65512 , 65416 , 194
361,65512 , 65417 , 193
362,65513 , 65417 , 194
363,65513 , 65417 , 194
364,65512 , 65416 , 193
365,65512 , 65416 , 193
366,65512 , 65417 , 193
367,65512 , 65416 , 194
368,65512 , 65416 , 194
369,65512 , 65418 , 194
370,65512 , 65418 , 194
371,65512 , 65416 , 194
372,65512 , 65416 , 194
373,65512 , 65416 , 194
374,65512 , 65417 , 195
375,65512 , 65417 , 195
376,65513 , 65416 , 193
377,65512 , 65416 , 194
378,65512 , 65416 , 194
379,65513 , 65417 , 193
380,65513 , 65417 , 193
381,65512 , 65418 , 193
382,65513 , 65416 , 193
383,65513 , 65416 , 193
384,65512 , 65418 , 193
385,65512 , 65418 , 194
386,65513 , 65417 , 193
387,65513 , 65416 , 193
388,65513 , 65416 , 193
389,65513 , 65417 , 194
390,65514 , 65417 , 194
391,65513 , 65416 , 194
392,65514 , 65417 , 194
393,65514 , 65417 , 194
394,65515 , 65417 , 194
395,65513 , 65416 , 195
396,65514 , 65416 , 195
397,65513 , 65417 , 197
398,65513 , 65417 , 197
399,65513 , 65418 , 195
400,65513 , 65417 , 196
401,65513 , 65417 , 196
402,65512 , 65416 , 196
403,65512 , 65416 , 196
404,65512 , 65418 , 195
405,65512 , 65417 , 195
406,65511 , 65417 , 194
407,65510 , 65417 , 193
408,65510 , 65417 , 193
409,65511 , 65417 , 194
410,65512 , 65417 , 194
411,65512 , 65417 , 194
412,65512 , 65417 , 194
413,65512 , 65417 , 194
414,65512 , 65416 , 194
415,65511 , 65417 , 193
416,65512 , 65416 , 193
417,65510 , 65417 , 194
418,65510 , 65417 , 194
419,65511 , 65417 , 193
420,65512 , 65417 , 193
421,65512 , 65416 , 194
422,65512 , 65418 , 194
423,65512 , 65418 , 194
424,65511 , 65417 , 193
425,65511 , 65416 , 194
426,65512 , 65416 , 194
427,65512 , 65430 , 199
428,65512 , 65430 , 199
429,65511 , 65428 , 199
430,65513 , 65428 , 197
431,65512 , 65429 , 198
432,65513 , 65428 , 198
433,65513 , 65428 , 198
434,65512 , 65427 , 196
435,65512 , 65429 , 197
436,65513 , 65428 , 198
437,65512 , 65428 , 198
438,65512 , 65428 , 198
439,65512 , 65428 , 198
440,65513 , 65428 , 198
441,65512 , 65428 , 197
442,65513 , 65428 , 198
443,65513 , 65428 , 198
444,65513 , 65427 , 197
445,65513 , 65428 , 198
446,65513 , 65429 , 198
447,65512 , 65428 , 197
448,65512 , 65427 , 197
449,65512 , 65427 , 197
450,65512 , 65428 , 198
451,65513 , 65428 , 196
452,65513 , 65429 , 198
453,65513 , 65428 , 199
454,65513 , 65428 , 199
455,65512 , 65427 , 197
456,65511 , 65425 , 200
457,65511 , 65426 , 200
458,65512 , 65427 , 201
459,65512 , 65427 , 201
460,65513 , 65427 , 198
461,65512 , 65428 , 198
462,65512 , 65426 , 198
463,65512 , 65427 , 199
464,65512 , 65427 , 199
465,65513 , 65427 , 198
466,65514 , 65430 , 200
467,65514 , 65428 , 201
468,65514 , 65428 , 201
469,65514 , 65428 , 201
470,65515 , 65428 , 200
471,65514 , 65428 , 200
472,65514 , 65429 , 200
473,65513 , 65428 , 200
474,65513 , 65428 , 200
475,65514 , 65429 , 201
476,65514 , 65429 , 199
477,65515 , 65429 , 198
478,65515 , 65430 , 198
479,65515 , 65430 , 198
480,65514 , 65429 , 198
481,65510 , 65423 , 183
482,65507 , 65422 , 181
483,65508 , 65420 , 176
484,65508 , 65420 , 176
485,65506 , 65419 , 172
486,65493 , 65411 , 130
487,65491 , 65407 , 122
488,65489 , 65406 , 116
489,65489 , 65406 , 116
490,65487 , 65403 , 110
491,65487 , 65365 , 33
492,65497 , 65356 , 2
493,65499 , 65354 , 65523
494,65499 , 65354 , 65523
495,65503 , 65348 , 65505
496,77 , 65310 , 65290
497,106 , 65321 , 65256
498,132 , 65340 , 65223
499,132 , 65340 , 65223
500,158 , 65366 , 65188
501,68 , 65510 , 65108
502,68 , 65510 , 65108
503,30 , 65471 , 65210
504,30 , 65471 , 65210
505,24 , 65450 , 65273
506,65298 , 65238 , 65512
507,65341 , 65110 , 65521
508,65445 , 65046 , 0
509,65445 , 65046 , 0
510,19 , 65039 , 17
511,62 , 65351 , 92
512,53 , 65360 , 95
513,46 , 65365 , 96
514,46 , 65365 , 96
515,42 , 65369 , 98
516,20 , 65380 , 108
517,19 , 65382 , 109
518,19 , 65382 , 109
519,18 , 65382 , 111
520,17 , 65382 , 112
521,8 , 65383 , 117
522,8 , 65385 , 117
523,8 , 65385 , 117
524,7 , 65384 , 118
525,7 , 65384 , 119
526,4 , 65384 , 119
527,3 , 65385 , 120
528,3 , 65385 , 120
529,3 , 65384 , 119
530,3 , 65384 , 119
531,3 , 65384 , 121
532,3 , 65385 , 122
533,3 , 65385 , 122
534,2 , 65385 , 122
535,2 , 65385 , 122
536,1 , 65384 , 121
537,1 , 65384 , 121
538,1 , 65384 , 121
539,2 , 65385 , 121
540,2 , 65385 , 121
541,1 , 65385 , 122
542,1 , 65385 , 122
543,1 , 65385 , 122
544,1 , 65385 , 122
545,1 , 65385 , 122
546,1 , 65384 , 124
547,1 , 65384 , 124
548,1 , 65383 , 122
549,1 , 65383 , 122
550,1 , 65385 , 123
551,1 , 65384 , 123
552,1 , 65384 , 123
553,0 , 65384 , 124
554,0 , 65384 , 124
555,65535 , 65383 , 124
556,65535 , 65384 , 124
557,1 , 65383 , 124
558,1 , 65383 , 124
559,0 , 65383 , 122
560,0 , 65384 , 123
561,0 , 65384 , 123
562,65535 , 65385 , 124
563,65535 , 65385 , 124
564,1 , 65384 , 124
565,1 , 65385 , 123
566,1 , 65384 , 123
567,0 , 65384 , 123
568,0 , 65384 , 123
569,65535 , 65385 , 123
570,65535 , 65385 , 123
571,0 , 65384 , 123
572,0 , 65385 , 122
573,0 , 65385 , 122
574,0 , 65384 , 124
575,0 , 65384 , 124
576,65535 , 65384 , 123
577,65281 , 65384 , 122
578,1 , 65384 , 122
579,1 , 65384 , 123
580,1 , 65384 , 123
581,0 , 65385 , 121
582,0 , 65385 , 121
583,0 , 65384 , 123
584,0 , 65384 , 124
585,0 , 65384 , 124
586,0 , 65385 , 123
587,0 , 65385 , 123
588,0 , 65384 , 123
589,0 , 65384 , 123
590,0 , 65385 , 123
591,0 , 65384 , 124
592,0 , 65384 , 124
593,0 , 65384 , 123
594,0 , 65384 , 123
595,0 , 65384 , 124
596,0 , 65386 , 124
597,0 , 65383 , 124
598,0 , 65384 , 123
599,0 , 65384 , 123
600,0 , 65384 , 123
601,1 , 65385 , 123
602,0 , 65385 , 123
603,0 , 65385 , 123
604,65535 , 65385 , 123
605,0 , 65385 , 123
606,0 , 65385 , 123
607,0 , 65384 , 123
608,0 , 65384 , 123
609,0 , 65385 , 123
610,0 , 65385 , 123
611,0 , 65385 , 124
612,65534 , 65384 , 123
613,65534 , 65384 , 123
614,0 , 65384 , 123
615,0 , 65384 , 123
616,0 , 65384 , 123
617,0 , 65384 , 123
618,0 , 65384 , 123
619,0 , 65384 , 123
620,0 , 65384 , 123
621,65535 , 65385 , 123
622,65535 , 65385 , 123
